resource_name	release_or_snapshot	license_name	official_terms_url	raw_redistribution_allowed	derived_redistribution_allowed	verification_status	public_release_action	notes
RCSB Protein Data Bank	API snapshot frozen 2026-09-02	CC0 1.0 Universal	https://www.rcsb.org/pages/usage-policy	yes	yes	verified	include_targeted_structures_metadata_and_reacquisition_manifest	PDB archive files and RCSB programmatic API data are CC0; attribute original structure authors and RCSB PDB where possible; integrated external annotations retain provider terms.
CYPstrate 2021 supplement	2021 article supplement	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	yes_with_attribution	yes_with_attribution	verified	include_with_attribution	Human CYP1A2/2A6/2B6/2C8/2C9/2C19/2D6/2E1/3A4 substrate/non-substrate data only; do not propagate negatives beyond matching human isoforms.
UniProtKB	2026_02/current frozen accessions	CC BY 4.0	https://www.uniprot.org/help/license	yes_with_attribution	yes_with_attribution	verified	include_targeted_records_or_reacquisition_manifest	Attribute UniProt; prefer targeted accession snapshots plus hashes instead of a bulk database mirror.
Rhea	current frozen release	CC BY 4.0	https://www.rhea-db.org/help/license-disclaimer	yes_with_attribution	yes_with_attribution	verified	include_targeted_records_with_attribution	Retain Rhea identifiers, release provenance and attribution.
ChEBI	current frozen release	CC BY 4.0	https://www.ebi.ac.uk/chebi/about	yes_with_attribution	yes_with_attribution	verified	include_targeted_records_with_attribution	Retain ChEBI identifiers, source release and attribution.
AlphaFold Protein Structure Database	v6/current frozen coordinates	CC BY 4.0	https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf	yes_with_attribution	yes_with_attribution	verified	publish_features_and_reacquisition_manifest	Raw coordinates may be redistributed with attribution, but the release package uses hashes and official reacquisition to avoid unnecessary bulk duplication.
Expression Atlas	10 frozen baseline experiments	CC BY 4.0 for copyrightable website material; upstream experiment terms may also apply	https://www.ebi.ac.uk/gxa/licence.html	conditional_per_experiment	yes_with_attribution_for_atlas_derived_outputs	verified_with_upstream_caveat	publish_normalized_derived_table_and_reacquisition_manifest	Do not automatically relicense submitted raw experiment data; retain experiment accessions and check upstream repository terms before bundling source files.
LOTUS	frozen MongoDB and structure releases	CC0 1.0	https://lotus.nprod.net/	yes	yes	verified	include_needed_source_subset_or_reacquisition_manifest	LOTUS data are dedicated to the public domain; preserve release and hash provenance.
BRENDA	2026.1 March 2026	CC BY 4.0; active acceptance and DSI/CBD notice apply	https://www.brenda-enzymes.org/license.php	yes_with_attribution_and_current_terms	yes_with_attribution_and_current_terms	verified_user_acceptance_attested	reacquire_from_official_source_do_not_bundle_raw_archive	The official terms state CC BY 4.0. The project conservatively omits the raw archive from its public package and supplies attribution, release/hash provenance, acceptance attestation, official reacquisition instructions and the current DSI/CBD notice.
EnzymeMap	v2 Zenodo record 8254726	No explicit license recorded on official Zenodo record	https://zenodo.org/records/8254726	no_pending_explicit_license	non_substitutive_derived_summaries_only	license_not_established	exclude_raw_until_explicit_license_or_permission	The record is openly accessible but its Rights/License field does not establish redistribution terms; it is derived from BRENDA 2023.
P450Rdb	v2/current download	Academic open-access wording; no explicit redistribution license located	https://www.cellknowledge.com.cn/p450rdb_v2/download.html	no_pending_explicit_license	non_substitutive_derived_summaries_only	license_not_established	exclude_raw_until_explicit_license_or_permission	Academic access does not by itself establish a raw-data redistribution license.
SABIO-RK	frozen API/export records	No explicit redistribution license located	https://sabiork.h-its.org/layouts/content/documentation.gsp	no_pending_explicit_license	non_substitutive_derived_summaries_only	license_not_established	exclude_raw_until_explicit_license_or_permission	Publish identifiers, provenance and non-substitutive analysis outputs; do not bundle raw exports without explicit terms or permission.
PubChem	targeted compound backfill	NCBI imposes no general restriction; contributor-specific rights may vary	https://pubchem.ncbi.nlm.nih.gov/docs/downloads	conditional_source_provenance_required	yes_for_identifiers_ncbi_computed_structures_and_non_substitutive_summaries	verified_with_contributor_caveat	publish_identifiers_computed_structures_and_provenance_only	Do not redistribute contributor annotations unless their source and license are compatible; retain PubChem CIDs and source provenance.
OpenAlex	frozen metadata results	CC0 1.0	https://github.com/ourresearch/openalex-docs/blob/main/license.md	yes_metadata_only	yes	verified	include_metadata_without_full_text	CC0 applies to OpenAlex metadata, not publisher full text reached through links.
Crossref	frozen metadata results	Metadata facts generally public-domain/CC0; abstracts may retain publisher copyright	https://www.crossref.org/documentation/retrieve-metadata/	yes_excluding_abstracts_unless_record_license_allows	yes_for_identifiers_and_non_copyrightable_facts	verified_with_field_caveat	include_identifiers_and_metadata_exclude_abstract_text	Retain DOI and provenance; exclude abstract text unless its per-record terms permit redistribution.
Europe PMC	frozen metadata and evidence searches	Metadata reusable; full-text reuse depends on each article license	https://europepmc.org/downloads	conditional_per_article_license	yes_for_metadata_identifiers_and_non_substitutive_evidence_summaries	verified_per_record_required	include_metadata_and_evidence_decisions_exclude_unverified_full_text	Only bundle full-text content from the open-access subset when a compatible per-article license is recorded.
PubMed	frozen identifiers and evidence searches	NLM does not claim copyright; abstracts may be copyrighted by publishers/authors	https://www.ncbi.nlm.nih.gov/home/about/policies/	no_bulk_abstract_or_xml_redistribution_without_record_rights	yes_for_identifiers_and_non_substitutive_evidence_summaries	verified_with_record_caveat	include_pmids_and_evidence_decisions_exclude_abstract_text	Publish PMIDs, query provenance and adjudication outputs; omit bulk abstracts and article text.
