resource	raw_files	raw_bytes	empty_files	primary_manuscript_role	used_in_main_analysis	licence_or_access_status	release_treatment	analytical_category	version_or_snapshot	manuscript_use	official_access_url	download_url_or_template	download_route_note	link_register_date	historical_file_receipts
alphafold	12694	2271109748	0	Historical download/availability context; no input path in the current matched-structure or ordered-site chain.	no	CC BY 4.0	Attribution required	Predicted-structure availability context	Historical predictions and metadata	Excluded from active analytical resource list; historical inventory retained	https://alphafold.ebi.ac.uk/	https://alphafold.ebi.ac.uk/api/prediction/{UNIPROT_ACCESSION}	API template; returned metadata supplies coordinate URL/version	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
atted_ii	285	64742312756	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://atted.jp/	https://atted.jp/	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
bkms_react	10	1690026	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://bkms.brenda-enzymes.org/	https://bkms.brenda-enzymes.org/	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
brenda	6	158591655	0	Typed biochemical-context audit and accession-linked EC coverage	yes	Licensed user access	Private workspace only	Licensed biochemical context	2026.1; archived source SHA-256 in brenda_audit.json	Methods evidence reconstruction; Supplementary Methods CLEAN EC context; Table S1d	https://www.brenda-enzymes.org/download.php	https://www.brenda-enzymes.org/download.php	Login/licence acceptance may be required; no anonymous direct archive asserted	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
chebi	64	765493863	0	FMNH2/FMN identity anchors used by reaction-role rules	yes	CC BY 4.0	Attribution required	Record-level identity reference	CHEBI:57618 and CHEBI:58210; consulted 2026-09-09	Fig 1; reaction identity rules	https://ftp.ebi.ac.uk/pub/databases/chebi/	https://www.ebi.ac.uk/chebi/CHEBI:57618	Specific identity reference; companion CHEBI:58210 is recorded in reaction_roles_v1.py. The downloaded bulk ChEBI inventory is not asserted to be consumed.	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
croppal	11	147901	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://croppal.org/	https://croppal.org/	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
crossref	1	35083	0	Reference metadata verification only; not a biological or chemical analytical dataset.	no	Metadata terms apply	Identifiers and hashes only	DOI bibliographic metadata	Record-specific metadata	Excluded from active analytical resource list; historical inventory retained	https://www.crossref.org/	https://api.crossref.org/works/{DOI}	API template; not biological training data	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
ensembl_plants	441	4293101553	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://plants.ensembl.org/	https://plants.ensembl.org/	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
enzymemap	9	193306037	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://github.com/hesther/enzymemap	https://github.com/hesther/enzymemap	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
europe_pmc	70608	7490528441	0	Literature access and metadata service; no current numerical-analysis input/output traced.	no	Record/article-specific rights	No article text redistributed	Publication metadata and accessible full text	Record-specific retrieval	Excluded from active analytical resource list; historical inventory retained	https://europepmc.org/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:{PMID}&format=json	API template; article full-text reuse depends on article licence	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
