resource	analytical_category	primary_manuscript_role	version_or_snapshot	licence_or_access_status	manuscript_use	official_access_url	download_url_or_template
brenda	Licensed biochemical context	Typed biochemical-context audit and accession-linked EC coverage	2026.1; archived source SHA-256 in brenda_audit.json	CC BY 4.0; source acceptance and DSI/CBD notice apply; raw archive not bundled	Methods evidence reconstruction; Supplementary Methods CLEAN EC context; Table S1d	https://www.brenda-enzymes.org/download.php	https://www.brenda-enzymes.org/download.php
chebi	Record-level identity reference	FMNH2/FMN identity anchors used by reaction-role rules	CHEBI:57618 and CHEBI:58210; consulted 2026-09-09	CC BY 4.0	Fig 1; reaction identity rules	https://ftp.ebi.ac.uk/pub/databases/chebi/	https://www.ebi.ac.uk/chebi/CHEBI:57618
ncbi_taxonomy	Taxid reconciliation and lineage controls	Ancestor features for taxonomy-only and taxonomy-plus-site controls	Historical taxonomy snapshot	US government resource; policy review retained	Supplementary Methods: availability-matched local and taxonomic conditional models	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/new_taxdump/	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/new_taxdump/new_taxdump.tar.gz
p450rdb	Core reaction assertions	Core sequence--reaction assertions	v2.0; historical local snapshots	Academic offline access; explicit redistribution licence not certified	Figs 1-4; S1-S2; S4	https://www.cellknowledge.com.cn/p450rdb_v2/download.html	https://www.cellknowledge.com.cn/p450rdb_v2/download/1.%20Reactions.CSV
pdb	Primary deposited structure coordinates	Experimentally determined structure availability	Entry-specific coordinate snapshots	CC0 1.0	Fig 3; S4	https://www.rcsb.org/	https://files.rcsb.org/download/{PDB_ID}.cif
pfam_interpro	Embedded family annotation	PF00067 family annotations embedded in consumed UniProt records	PF00067 cross-references in historical UniProt inputs	Embedded annotation in the CC BY 4.0 UniProt records	Figs 1-4; Fig S1; core family qualification	https://www.ebi.ac.uk/interpro/entry/pfam/PF00067/	https://www.ebi.ac.uk/interpro/api/entry/pfam/PF00067/
rcsb_cyp_ligand_templates_v1	Derived heme/contact template collection	Heme/ligand geometry templates derived from PDB	Internal derived collection; same PDB lineage	PDB archive CC0 1.0	Fig 3; S4	https://www.rcsb.org/	https://files.rcsb.org/download/{PDB_ID}.cif
rhea	Reaction identity and participant context	Directional reaction structures and identifiers	Historical local release; see original receipts	CC BY 4.0	Figs 1-4; S1-S2	https://ftp.expasy.org/databases/rhea/	https://ftp.expasy.org/databases/rhea/tsv/rhea-reaction-smiles.tsv
sabio_rk	Kinetic annotation-resolution audit	Annotation-resolution audit; not admitted to exact core	Targeted historical API records	Redistribution terms not certified	Fig S1; Table S2; zero admitted core assertions	https://sabiork.h-its.org/	https://sabiork.h-its.org/sabioRestWebServices/kineticLaws
uniprot	Core sequence and reaction assertions	Sequence and catalytic-activity annotations	Historical API snapshots; no uniform release certified	CC BY 4.0	Figs 1-4; S1-S2; S4	https://rest.uniprot.org/uniprotkb/search	https://rest.uniprot.org/uniprotkb/search?query=%28xref%3Apfam-PF00067%29&format=tsv
uniprot_swissprot	Same UniProt annotation lineage	Reviewed UniProt flat-file lineage	Historical reviewed flat-file snapshot	CC BY 4.0	Figs 1-4; S1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot.dat.gz
cypstrate	Fixed-human development labels	Nine-isoform fixed-human development labels	Molecules 2021, 26, 4678 supplementary archive	CC BY 4.0; original article supplementary data, with attribution	Figs 5-6; S3	https://pmc.ncbi.nlm.nih.gov/articles/PMC8347321/	https://mdpi-res.com/d_attachment/molecules/molecules-26-04678/article_deploy/molecules-26-04678-s001.zip
figshare_26630515_v4	Qualified fixed-human external labels	Independently qualified fixed-human external labels	Version 4; published 2025-03-28	CC BY 4.0	Figs 5-6; S3	https://doi.org/10.6084/m9.figshare.26630515.v4	https://api.figshare.com/v2/articles/26630515/versions/4
CLEAN_v1.0.0	Pretrained EC-context expert	EC-context/pruning analysis	v1.0.0 training/weight snapshot used in analysis	Non-exclusive research-use licence	Fig 3; S4	https://github.com/tttianhao/CLEAN	https://github.com/tttianhao/CLEAN
ESM2_650M	Pretrained protein representation	Global protein embeddings	esm2_t33_650M_UR50D, layer 33	Upstream model terms apply	Figs 2-3; S2; S4	https://github.com/facebookresearch/esm	https://dl.fbaipublicfiles.com/fair-esm/models/esm2_t33_650M_UR50D.pt
